FID,ADDRESS,FIRE_HALL,X,Y
0,815 Goyeau St,Fire Hall #1,-83.033470735899996,42.311865621800003
1,3121 Milloy St,Fire Hall #2,-82.986931688300004,42.306857491199999
2,2650 Northwood St,Fire Hall #5,-83.049138462299993,42.276279695100001
3,2750 Ouellette Ave,Fire Hall #3,-83.015697620200001,42.282136961699997
4,2600 College Ave,Fire Hall #4,-83.062837877199996,42.299923124199999
5,1380 Matthew Brady Blvd,Fire Hall #7,-82.938663427099996,42.321547793599997
6,1587 Provincial Rd,Fire Hall #6,-82.977314369300004,42.257537835299999
